language,round,question,answer
Bhojpuri,HR,Apna bare mein batayiye,Hum ek mehnati aur zimmedar vyakti bani jo team aur individual dono mein achha kaam karela
Bhojpuri,HR,Apka sabse bada strength kaun sa hai,Hamaar sabse bada strength fast learning aur problem solving ba
Bhojpuri,HR,Apka sabse bada weakness kaun sa hai,Kabhi kabhi perfection pe zyada focus kar deta bani lekin ab time manage seekh gail bani
Bhojpuri,HR,Company mein kaam kare ke ichha kyon hai,Ee company growth aur learning opportunity dewe la isliye
Bhojpuri,Behavioral,Ap stress kaise handle karele,Planning aur calm rah ke stress handle karila
Bhojpuri,Behavioral,Team mein kaam kare ke anubhav batayiye,Team ke sath coordination aur communication se kaam complete karila
Bhojpuri,Behavioral,Ap pressure mein kaam kar paate hain,Haan hum pressure mein focus ke sath kaam kar sakila
Bhojpuri,Behavioral,Ap leadership role sambhale hain kya,Haan chhota team lead kare ke experience ba
Bhojpuri,HR,Ap future mein apne aap ko kahan dekhte hain,Company ke sath grow karte hue leadership role mein
Bhojpuri,Technical,Deadline ke under kaam kaise karte hain,Task ko break karke priority set karila
Bhojpuri,Behavioral,Customer problem kaise solve karenge,Pehele dhyan se sun ke phir solution deila
Bhojpuri,HR,Apka communication skill kaisa hai,Clear aur polite communication ba
Bhojpuri,Behavioral,Failure se apne kya seekha,Failure se improvement aur growth seekhile
Bhojpuri,Technical,Ap naye skills kaise seekhte hain,Training aur practice se
Bhojpuri,Behavioral,Ap teamwork ko kaise dekhte hain,Teamwork success ke liye bahut jaruri ba
Bhojpuri,HR,Apka sabse bada achievement kya hai,Time par project complete karna
Bhojpuri,HR,Ap company ke liye kya value la sakte hain,Mehnat aur dedication
Bhojpuri,Behavioral,Ap conflict kaise handle karte hain,Shant dimag se baat karke
Bhojpuri,Technical,Ap time management kaise karte hain,Daily planning se
Bhojpuri,Technical,Ap multitasking kar sakte hain kya,Haan priority ke sath
Bhojpuri,Behavioral,Ap apni mistakes kaise sudharte hain,Accept karke improve karila
Bhojpuri,HR,Ap feedback kaise lete hain,Positive tarike se
Bhojpuri,Technical,Ap learning ko kaise priority dete hain,Daily thoda thoda seekh ke
Bhojpuri,HR,Apka work ethics kaisa hai,Imandari aur discipline
Bhojpuri,Behavioral,Ap pressure deadline pasand hai kya,Haan kyunki focus badhta hai
Bhojpuri,Technical,Ap decision kaise lete hain,Data aur situation dekh ke
Bhojpuri,Behavioral,Ap naye challenges kaise accept karte hain,Positive mindset se
Bhojpuri,Technical,Ap technology update kaise rehte hain,Online learning se
